country,country_iso3,year,type,patch_id,station_count,capacity_gw
Croatia,HRV,2030,wind,R02C07,445,1.931121
Croatia,HRV,2040,solar,R02C07,279,1.94313
Croatia,HRV,2040,wind,R02C07,447,2.206174
Croatia,HRV,2050,solar,R02C07,279,1.94313
Croatia,HRV,2050,wind,R02C07,461,3.124066
Cuba,CUB,2030,solar,R03C04,509,10.348731
Cuba,CUB,2030,wind,R03C04,378,3.013049
Cuba,CUB,2040,solar,R03C04,509,11.190595
Cuba,CUB,2040,wind,R03C04,380,3.132895
Cuba,CUB,2050,solar,R03C04,510,12.639717
Cuba,CUB,2050,wind,R03C04,566,5.775863
Cyprus,CYP,2030,solar,R02C08,11,0.222829
Cyprus,CYP,2040,solar,R02C08,11,0.24926
Cyprus,CYP,2050,solar,R02C08,11,0.269328
Czechia,CZE,2030,solar,R02C07,249,0.990265
Czechia,CZE,2030,wind,R02C07,554,2.509358
Czechia,CZE,2040,solar,R02C07,305,1.588435
Czechia,CZE,2040,wind,R02C07,554,2.807864
Czechia,CZE,2050,solar,R02C07,306,1.762526
Czechia,CZE,2050,wind,R02C07,554,4.034612
Côte d'Ivoire,CIV,2030,solar,R03C06,1113,13.358625
Côte d'Ivoire,CIV,2030,wind,R03C06,1240,21.91352
Côte d'Ivoire,CIV,2040,solar,R03C06,1113,14.711541
Côte d'Ivoire,CIV,2040,wind,R03C06,1241,22.89709
Côte d'Ivoire,CIV,2050,solar,R03C06,1113,18.658335
Côte d'Ivoire,CIV,2050,wind,R03C06,1406,29.793021
Dem. Rep. Congo,COD,2030,solar,R03C07,112,0.710454
Dem. Rep. Congo,COD,2030,solar,R03C08,69,0.153813
Dem. Rep. Congo,COD,2030,solar,R04C07,1986,18.017288
Dem. Rep. Congo,COD,2030,wind,R03C07,151,1.585832
Dem. Rep. Congo,COD,2030,wind,R03C08,149,9.68534
Dem. Rep. Congo,COD,2030,wind,R04C07,1882,22.88078
Dem. Rep. Congo,COD,2030,wind,R04C08,2,0.030262
Dem. Rep. Congo,COD,2040,solar,R03C07,112,0.748731
Dem. Rep. Congo,COD,2040,solar,R03C08,69,0.167146
