country,country_iso3,year,type,station_count,capacity_gw
Ethiopia,ETH,2030,wind,2304,29.13418
Ethiopia,ETH,2040,solar,2462,38.719803
Ethiopia,ETH,2040,wind,2309,32.194736
Ethiopia,ETH,2050,solar,2464,47.477632
Ethiopia,ETH,2050,wind,2390,43.772118
Finland,FIN,2030,solar,100,0.133164
Finland,FIN,2040,solar,100,0.152643
Finland,FIN,2050,solar,100,0.17575
France,-99,2030,solar,3600,26.679818
France,-99,2030,wind,3236,32.107953
France,-99,2040,solar,5715,64.880213
France,-99,2040,wind,3241,35.366765
France,-99,2050,solar,5744,65.747645
France,-99,2050,wind,3464,49.364117
Gabon,GAB,2030,solar,231,1.077154
Gabon,GAB,2030,wind,153,1.471984
Gabon,GAB,2040,solar,233,1.289922
Gabon,GAB,2040,wind,153,1.561188
Gabon,GAB,2050,solar,233,1.68112
Gabon,GAB,2050,wind,153,2.097609
Gambia,GMB,2030,solar,41,0.621869
Gambia,GMB,2030,wind,62,0.66531
Gambia,GMB,2040,solar,41,0.654578
Gambia,GMB,2040,wind,62,0.738334
Gambia,GMB,2050,solar,41,0.889974
Gambia,GMB,2050,wind,75,1.072395
Georgia,GEO,2030,solar,199,1.393438
Georgia,GEO,2030,wind,366,3.616796
Georgia,GEO,2040,solar,199,1.543667
Georgia,GEO,2040,wind,366,3.787586
Georgia,GEO,2050,solar,199,1.750241
Georgia,GEO,2050,wind,404,6.469093
Germany,DEU,2030,solar,1903,16.183183
Germany,DEU,2030,wind,1867,13.138811
Germany,DEU,2040,solar,4109,50.020941
Germany,DEU,2040,wind,1867,15.06156
Germany,DEU,2050,solar,4296,51.758468
Germany,DEU,2050,wind,2067,21.489143
Ghana,GHA,2030,solar,704,19.414186
Ghana,GHA,2030,wind,823,5.684688
Ghana,GHA,2040,solar,704,20.720835
Ghana,GHA,2040,wind,917,6.454727
Ghana,GHA,2050,solar,705,23.402617
Ghana,GHA,2050,wind,1012,9.226706
Greece,GRC,2030,solar,247,1.212924
Greece,GRC,2030,wind,322,5.29358
Greece,GRC,2040,solar,513,3.220025
Greece,GRC,2040,wind,322,5.624829
Greece,GRC,2050,solar,513,3.220025
Greece,GRC,2050,wind,322,7.601814
Guatemala,GTM,2030,solar,307,1.126295
Guatemala,GTM,2030,wind,197,3.242228
Guatemala,GTM,2040,solar,308,1.192932
Guatemala,GTM,2040,wind,197,3.652011
Guatemala,GTM,2050,solar,309,1.619191
Guatemala,GTM,2050,wind,197,5.284802
Guinea,GIN,2030,solar,445,3.90374
Guinea,GIN,2030,wind,420,4.371063
Guinea,GIN,2040,solar,445,4.162157
Guinea,GIN,2040,wind,420,4.654776
Guinea,GIN,2050,solar,445,5.367806
Guinea,GIN,2050,wind,420,6.625048
Guinea-Bissau,GNB,2030,wind,42,0.080176
Guinea-Bissau,GNB,2040,wind,42,0.081177
Guinea-Bissau,GNB,2050,wind,42,0.117776
Guyana,GUY,2030,solar,88,1.4966
Guyana,GUY,2030,wind,98,1.023345
Guyana,GUY,2040,solar,88,1.603071
Guyana,GUY,2040,wind,98,1.05441
Guyana,GUY,2050,solar,88,2.213527
Guyana,GUY,2050,wind,98,1.260518
Haiti,HTI,2030,solar,160,1.380453
Haiti,HTI,2030,wind,170,1.34821
Haiti,HTI,2040,solar,161,1.503678
Haiti,HTI,2040,wind,172,1.422129
Haiti,HTI,2050,solar,161,1.758018
Haiti,HTI,2050,wind,172,2.002145
Honduras,HND,2030,solar,174,0.909081
Honduras,HND,2030,wind,172,1.867803
Honduras,HND,2040,solar,174,0.97388
Honduras,HND,2040,wind,172,1.889947
Honduras,HND,2050,solar,174,1.086028
Honduras,HND,2050,wind,172,2.820384
Hungary,HUN,2030,solar,353,2.095825
Hungary,HUN,2030,wind,493,7.159262
Hungary,HUN,2040,solar,390,2.605544
Hungary,HUN,2040,wind,493,8.246975
Hungary,HUN,2050,solar,391,3.435264
Hungary,HUN,2050,wind,521,11.283091
India,IND,2030,solar,10874,88.212179
India,IND,2030,wind,18938,315.531629
India,IND,2040,solar,11008,97.447611
India,IND,2040,wind,18942,346.000267
India,IND,2050,solar,11354,123.917668
India,IND,2050,wind,19164,460.484111
Indonesia,IDN,2030,solar,3957,67.465038
Indonesia,IDN,2030,wind,4035,62.618105
Indonesia,IDN,2040,solar,3971,72.958114
Indonesia,IDN,2040,wind,4047,68.339017
Indonesia,IDN,2050,solar,4016,88.034763
Indonesia,IDN,2050,wind,4399,91.609528
Iran,IRN,2030,solar,8176,163.23809
Iran,IRN,2030,wind,7225,117.023471
Iran,IRN,2040,solar,8186,178.225256
Iran,IRN,2040,wind,7225,129.232291
Iran,IRN,2050,solar,8280,231.999558
Iran,IRN,2050,wind,7489,175.428404
Iraq,IRQ,2030,solar,1446,19.886658
Iraq,IRQ,2030,wind,1151,4.68758
Iraq,IRQ,2040,solar,1446,22.1601
Iraq,IRQ,2040,wind,1151,5.18543
Iraq,IRQ,2050,solar,1556,29.891524
Iraq,IRQ,2050,wind,1247,8.864559
Ireland,IRL,2030,solar,626,12.812136
Ireland,IRL,2030,wind,204,1.346826
Ireland,IRL,2040,solar,628,13.915814
Ireland,IRL,2040,wind,205,1.475957
Ireland,IRL,2050,solar,628,17.038335
Ireland,IRL,2050,wind,205,2.09068
Israel,ISR,2030,solar,145,0.864242
Israel,ISR,2030,wind,114,1.639341
Israel,ISR,2040,solar,145,0.973423
Israel,ISR,2040,wind,114,1.838611
Israel,ISR,2050,solar,145,1.338175
Israel,ISR,2050,wind,114,2.555447
Italy,ITA,2030,solar,884,5.701143
Italy,ITA,2030,wind,1163,20.035447
Italy,ITA,2040,solar,1857,18.438794
Italy,ITA,2040,wind,1165,21.960127
Italy,ITA,2050,solar,1913,18.641193
Italy,ITA,2050,wind,1440,28.267381
Jamaica,JAM,2030,wind,13,0.443021
Jamaica,JAM,2040,wind,13,0.458158
Jamaica,JAM,2050,wind,13,0.685245
Japan,JPN,2030,solar,1052,18.077557
Japan,JPN,2030,wind,887,11.801455
Japan,JPN,2040,solar,1054,20.180561
Japan,JPN,2040,wind,891,13.151581
Japan,JPN,2050,solar,1070,23.961647
Japan,JPN,2050,wind,892,18.372083
Jordan,JOR,2030,solar,414,4.69628
Jordan,JOR,2030,wind,290,1.55754
Jordan,JOR,2040,solar,414,5.161523
Jordan,JOR,2040,wind,290,1.721776
Jordan,JOR,2050,solar,448,7.236825
Jordan,JOR,2050,wind,351,2.571446
Kazakhstan,KAZ,2030,solar,7271,115.552354
Kazakhstan,KAZ,2030,wind,6180,64.946637
Kazakhstan,KAZ,2040,solar,7275,125.539699
Kazakhstan,KAZ,2040,wind,6221,72.393049
Kazakhstan,KAZ,2050,solar,7336,160.571534
Kazakhstan,KAZ,2050,wind,6734,105.173695
Kenya,KEN,2030,solar,862,10.844987
Kenya,KEN,2030,wind,1227,27.635176
Kenya,KEN,2040,solar,862,11.90936
Kenya,KEN,2040,wind,1227,31.423608
Kenya,KEN,2050,solar,992,16.576615
Kenya,KEN,2050,wind,1258,41.305342
Kosovo,-99,2030,solar,1,0.000108
Kosovo,-99,2030,wind,61,0.095817
Kosovo,-99,2040,solar,80,0.227357
Kosovo,-99,2040,wind,61,0.10687
Kosovo,-99,2050,solar,80,0.227357
Kosovo,-99,2050,wind,61,0.148984
Kuwait,KWT,2030,solar,101,1.336787
Kuwait,KWT,2040,solar,101,1.508914
Kuwait,KWT,2050,solar,101,1.733759
Kyrgyzstan,KGZ,2030,solar,125,1.507276
Kyrgyzstan,KGZ,2030,wind,308,4.635324
Kyrgyzstan,KGZ,2040,solar,125,1.641085
Kyrgyzstan,KGZ,2040,wind,308,4.921787
Kyrgyzstan,KGZ,2050,solar,125,1.862733
Kyrgyzstan,KGZ,2050,wind,308,6.556003
Laos,LAO,2030,solar,508,5.503868
Laos,LAO,2030,wind,494,6.086409
Laos,LAO,2040,solar,509,6.226908
Laos,LAO,2040,wind,494,6.421721
Laos,LAO,2050,solar,509,7.926128
Laos,LAO,2050,wind,577,9.796526
Latvia,LVA,2030,solar,415,1.159822
Latvia,LVA,2030,wind,480,1.1116
Latvia,LVA,2040,solar,415,1.300107
Latvia,LVA,2040,wind,481,1.224747
Latvia,LVA,2050,solar,416,1.641503
Latvia,LVA,2050,wind,481,1.783622
Lebanon,LBN,2030,solar,55,0.151674
Lebanon,LBN,2030,wind,86,0.507137
Lebanon,LBN,2040,solar,55,0.156067
Lebanon,LBN,2040,wind,86,0.603506
Lebanon,LBN,2050,solar,55,0.182243
Lebanon,LBN,2050,wind,86,0.793068
Lesotho,LSO,2030,solar,57,0.587163
Lesotho,LSO,2030,wind,8,0.130205
Lesotho,LSO,2040,solar,57,0.588793
Lesotho,LSO,2040,wind,8,0.132598
Lesotho,LSO,2050,solar,57,0.781525
Lesotho,LSO,2050,wind,69,0.466879
Liberia,LBR,2030,solar,140,1.590777
Liberia,LBR,2030,wind,264,0.890489
Liberia,LBR,2040,solar,140,1.808351
Liberia,LBR,2040,wind,264,0.975732
Liberia,LBR,2050,solar,140,1.888227
Liberia,LBR,2050,wind,264,1.409219
Libya,LBY,2030,solar,2294,44.070899
Libya,LBY,2030,wind,1217,14.369382
Libya,LBY,2040,solar,2295,48.207106
Libya,LBY,2040,wind,1217,15.937577
Libya,LBY,2050,solar,2438,65.809214
Libya,LBY,2050,wind,1351,22.645986
Lithuania,LTU,2030,solar,452,2.016612
Lithuania,LTU,2030,wind,235,3.201293
Lithuania,LTU,2040,solar,452,2.183991
Lithuania,LTU,2040,wind,235,3.645831
Lithuania,LTU,2050,solar,453,2.486037
Lithuania,LTU,2050,wind,301,5.241642
Luxembourg,LUX,2030,solar,13,0.144777
Luxembourg,LUX,2030,wind,29,0.121747
Luxembourg,LUX,2040,solar,31,0.300527
Luxembourg,LUX,2040,wind,29,0.129183
Luxembourg,LUX,2050,solar,31,0.300546
Luxembourg,LUX,2050,wind,29,0.172625
Madagascar,MDG,2030,solar,91,0.425655
Madagascar,MDG,2030,wind,379,7.190597
Madagascar,MDG,2040,solar,91,0.469545
Madagascar,MDG,2040,wind,379,7.898507
Madagascar,MDG,2050,solar,91,0.643336
Madagascar,MDG,2050,wind,379,11.061765
Malawi,MWI,2030,solar,186,0.825516
