country,country_en,country_iso3,patch_id,geometry_intersects,station_observed_ssp126,station_count_ssp126,capacity_gw_ssp126,station_observed_ssp245,station_count_ssp245,capacity_gw_ssp245,station_observed_ssp585,station_count_ssp585,capacity_gw_ssp585
Malaysia,Malaysia,MYS,R03C10,True,True,10014,144.597021,True,10014,144.597021,True,10014,144.597021
Mali,Mali,MLI,R03C06,True,True,19471,438.391264,True,19471,438.391264,True,19471,438.391264
Mali,Mali,MLI,R03C07,True,True,81,6.37778,True,81,6.37778,False,81,6.37778
Mauritania,Mauritania,MRT,R03C06,True,True,4657,132.327208,True,4657,132.327208,True,4657,132.327208
Mexico,Mexico,MEX,R02C03,True,True,10545,228.961725,True,10545,228.961725,True,10545,228.961725
Mexico,Mexico,MEX,R03C03,True,True,86412,1481.721677,True,86412,1481.721677,True,86412,1481.721677
Mexico,Mexico,MEX,R03C04,True,True,5322,56.349942,True,5322,56.349942,True,5322,56.349942
Moldova,Moldova,MDA,R02C07,True,True,2898,45.762651,True,2898,45.762651,True,2898,45.762651
Moldova,Moldova,MDA,R02C08,True,False,0,0,False,0,0,False,0,0
Mongolia,Mongolia,MNG,R02C09,True,False,126,0.389322,True,126,0.389322,False,126,0.389322
Mongolia,Mongolia,MNG,R02C10,True,True,36332,1572.271268,True,36332,1572.271268,True,36332,1572.271268
Montenegro,Montenegro,MNE,R02C07,True,True,772,2.875171,True,772,2.875171,True,772,2.875171
Morocco,Morocco,MAR,R02C06,True,True,20052,338.382607,True,20052,338.382607,True,20052,338.382607
Morocco,Morocco,MAR,R03C06,True,True,5038,197.193712,True,5038,197.193712,True,5038,197.193712
Mozambique,Mozambique,MOZ,R04C08,True,True,21206,380.329541,True,21206,380.329541,True,21206,380.329541
Myanmar,Myanmar,MMR,R03C10,True,True,22047,368.725778,True,22047,368.725778,True,22047,368.725778
N. Cyprus,Turkish Republic of Northern Cyprus,-99,R02C08,True,False,110,3.874937,True,110,3.874937,True,110,3.874937
Namibia,Namibia,NAM,R04C07,True,True,28179,612.670417,True,28179,612.670417,True,28179,612.670417
Nepal,Nepal,NPL,R02C09,True,False,0,0,False,0,0,False,0,0
Nepal,Nepal,NPL,R03C09,True,True,4330,65.700309,True,4330,65.700309,True,4330,65.700309
Netherlands,Netherlands,NLD,R02C07,True,True,3737,119.218068,True,3737,119.218068,True,3737,119.218068
New Caledonia,New Caledonia,NCL,R04C12,True,True,198,5.524353,True,198,5.524353,True,198,5.524353
New Zealand,New Zealand,NZL,R05C12,True,True,11721,204.156341,True,11721,204.156341,True,11721,204.156341
Nicaragua,Nicaragua,NIC,R03C04,True,True,4892,34.574111,True,4892,34.574111,True,4892,34.574111
Niger,Niger,NER,R03C07,True,True,9392,226.617284,True,9392,226.617284,True,9392,226.617284
Nigeria,Nigeria,NGA,R03C07,True,True,52465,894.373351,True,52465,894.373351,True,52465,894.373351
North Korea,North Korea,PRK,R02C11,True,True,3300,43.956249,True,3300,43.956249,True,3300,43.956249
North Macedonia,North Macedonia,MKD,R02C07,True,True,1563,9.505769,True,1563,9.505769,True,1563,9.505769
Norway,Norway,-99,R01C07,True,True,3031,12.616301,True,3031,12.616301,True,3031,12.616301
Norway,Norway,-99,R01C08,True,False,0,0,False,0,0,False,0,0
Norway,Norway,-99,R02C07,True,True,1641,25.166556,True,1641,25.166556,True,1641,25.166556
Oman,Oman,OMN,R03C08,True,True,13671,439.386576,True,13671,439.386576,True,13671,439.386576
Pakistan,Pakistan,PAK,R02C09,True,True,21792,459.741831,True,21792,459.741831,True,21792,459.741831
Pakistan,Pakistan,PAK,R03C09,True,True,29219,979.875175,True,29219,979.875175,True,29219,979.875175
Palestine,Palestine,PSE,R02C08,True,True,417,3.984438,True,417,3.984438,True,417,3.984438
Panama,Panama,PAN,R03C04,True,True,1504,28.762144,True,1504,28.762144,True,1504,28.762144
Papua New Guinea,Papua New Guinea,PNG,R04C11,True,True,1697,25.323001,True,1697,25.323001,True,1697,25.323001
Papua New Guinea,Papua New Guinea,PNG,R04C12,True,False,0,0,False,0,0,False,0,0
Paraguay,Paraguay,PRY,R04C04,True,True,1310,36.769137,True,1310,36.769137,True,1310,36.769137
Paraguay,Paraguay,PRY,R04C05,True,True,15332,255.016125,True,15332,255.016125,True,15332,255.016125
Peru,Peru,PER,R04C04,True,True,16237,247.038161,True,16237,247.038161,True,16237,247.038161
Philippines,Philippines,PHL,R03C10,True,True,134,2.367363,True,134,2.367363,True,134,2.367363
Philippines,Philippines,PHL,R03C11,True,True,7227,121.454847,True,7227,121.454847,True,7227,121.454847
Poland,Poland,POL,R02C07,True,True,26531,296.691654,True,26531,296.691654,True,26531,296.691654
Portugal,Portugal,PRT,R02C06,True,True,8463,123.17552,True,8463,123.17552,True,8463,123.17552
Puerto Rico,Puerto Rico,PRI,R03C04,True,True,244,3.415871,True,244,3.415871,True,244,3.415871
Qatar,Qatar,QAT,R03C08,True,True,827,22.667039,True,827,22.667039,True,827,22.667039
Romania,Romania,ROU,R02C07,True,True,18594,212.356632,True,18594,212.356632,True,18594,212.356632
Russia,Russia,RUS,R01C01,True,False,0,0,False,0,0,False,0,0
Russia,Russia,RUS,R01C07,True,False,0,0,False,0,0,False,0,0
Russia,Russia,RUS,R01C08,True,True,4077,11.381358,True,4077,11.381358,True,4077,11.381358
Russia,Russia,RUS,R01C09,True,True,44,0.2677,True,44,0.2677,False,44,0.2677
Russia,Russia,RUS,R01C10,True,False,0,0,False,0,0,False,0,0
Russia,Russia,RUS,R01C11,True,False,0,0,False,0,0,False,0,0
Russia,Russia,RUS,R01C12,True,True,5,0.199934,False,5,0.199934,False,5,0.199934
Russia,Russia,RUS,R02C07,True,True,5143,32.45342,True,5143,32.45342,True,5143,32.45342
Russia,Russia,RUS,R02C08,True,True,168801,2068.14376,True,168801,2068.14376,True,168801,2068.14376
Russia,Russia,RUS,R02C09,True,True,64330,625.30838,True,64330,625.30838,True,64330,625.30838
Russia,Russia,RUS,R02C10,True,True,24429,280.443147,True,24429,280.443147,True,24429,280.443147
Russia,Russia,RUS,R02C11,True,True,14825,202.578911,True,14825,202.578911,True,14825,202.578911
Russia,Russia,RUS,R02C12,True,True,443,6.084833,False,443,6.084833,False,443,6.084833
Rwanda,Rwanda,RWA,R04C07,True,True,138,1.51966,True,138,1.51966,False,138,1.51966
Rwanda,Rwanda,RWA,R04C08,True,True,891,20.98267,True,891,20.98267,True,891,20.98267
S. Sudan,South Sudan,SSD,R03C07,True,True,1622,34.697189,True,1622,34.697189,True,1622,34.697189
S. Sudan,South Sudan,SSD,R03C08,True,True,2464,88.013967,True,2464,88.013967,True,2464,88.013967
Saudi Arabia,Saudi Arabia,SAU,R02C08,True,True,2237,76.39516,True,2237,76.39516,True,2237,76.39516
Saudi Arabia,Saudi Arabia,SAU,R03C08,True,True,61791,1579.936171,True,61791,1579.936171,True,61791,1579.936171
Senegal,Senegal,SEN,R03C06,True,True,5422,101.841664,True,5422,101.841664,True,5422,101.841664
Serbia,Serbia,SRB,R02C07,True,True,5043,68.16559,True,5043,68.16559,True,5043,68.16559
Sierra Leone,Sierra Leone,SLE,R03C06,True,True,2956,85.068772,True,2956,85.068772,True,2956,85.068772
Slovakia,Slovakia,SVK,R02C07,True,True,3331,31.558562,True,3331,31.558562,True,3331,31.558562
